,state,year,age_group,svy_type,mcv_est,mcv_se
280,kebbi,2021-01-01,12_23m,MICS,0.594922,0.036192
281,kogi,2021-01-01,12_23m,MICS,0.711131,0.046922
282,kwara,2021-01-01,12_23m,MICS,0.619968,0.049691
283,lagos,2021-01-01,12_23m,MICS,0.855232,0.031618
284,nasarawa,2021-01-01,12_23m,MICS,0.519611,0.039002
285,niger,2021-01-01,12_23m,MICS,0.542488,0.037659
286,ogun,2021-01-01,12_23m,MICS,0.518408,0.05
287,ondo,2021-01-01,12_23m,MICS,0.662354,0.046463
288,osun,2021-01-01,12_23m,MICS,0.792736,0.047521
289,oyo,2021-01-01,12_23m,MICS,0.599695,0.053644
290,plateau,2021-01-01,12_23m,MICS,0.675979,0.040061
291,rivers,2021-01-01,12_23m,MICS,0.85139,0.043568
292,sokoto,2021-01-01,12_23m,MICS,0.188368,0.040007
293,taraba,2021-01-01,12_23m,MICS,0.640957,0.044901
294,yobe,2021-01-01,12_23m,MICS,0.695805,0.033357
295,zamfara,2021-01-01,12_23m,MICS,0.449038,0.040896
