,region,birth_year,age,avg,var
523,south east,2022,3,0.09689950625428964,3.5193394478337874e-05
524,south east,2022,4,0.09570460365256561,3.258668110380404e-05
525,south east,2022,5,0.08856866782414496,2.7701668995529904e-05
526,south east,2022,6,0.0763742782969058,2.3654059192036124e-05
527,south east,2022,7,0.06249195279754067,2.1003548138508906e-05
528,south east,2022,8,0.04962037494670137,1.7944912920225855e-05
529,south east,2022,9,0.03900150375497456,1.478593568695076e-05
530,south east,2022,10,0.030782351546895945,1.174694104814308e-05
531,south east,2022,11,0.02466300638186209,9.196391350573965e-06
532,south east,2022,12,0.02016557526961876,7.142401641279651e-06
533,south east,2022,13,0.0168972573279086,5.7857247819587044e-06
534,south east,2022,14,0.01452036149650763,4.8488469428933016e-06
535,south east,2022,15,0.012806891350827843,4.258960949319308e-06
536,south east,2022,16,0.011559360707576688,3.917983460057467e-06
537,south east,2022,17,0.010656850663087143,3.7706993931444657e-06
538,south east,2022,18,0.010018908131602985,3.846103349433383e-06
539,south east,2022,19,0.009581103957928378,4.02989664016176e-06
540,south east,2022,20,0.009291952067367189,4.27479274143012e-06
541,south east,2022,21,0.009104381126248574,4.508403795967614e-06
542,south east,2022,22,0.008993082410455685,4.709314534005198e-06
543,south east,2022,23,0.008938180898302872,4.916930315237275e-06
544,south east,2022,24,0.008926910860495877,5.054627436820721e-06
545,south east,2022,25,0.008929166952649835,4.963326640846795e-06
546,south east,2023,0,0.08625183411251884,3.313641873582358e-05
547,south east,2023,1,0.09344634456683562,4.030648289929484e-05
548,south east,2023,2,0.09580559264418773,3.6742317680169966e-05
549,south east,2023,3,0.09689950625428964,3.5193394478337874e-05
550,south east,2023,4,0.09570460365256561,3.258668110380404e-05
551,south east,2023,5,0.08856866782414496,2.7701668995529904e-05
552,south east,2023,6,0.0763742782969058,2.3654059192036124e-05
553,south east,2023,7,0.06249195279754067,2.1003548138508906e-05
554,south east,2023,8,0.04962037494670137,1.7944912920225855e-05
