,state,time,avg,var
212,abuja,2012-09-01,3078.733890010376,30255.224350613684
213,abuja,2012-10-01,2880.943501392085,28539.777019244215
214,abuja,2012-11-01,2476.343642679632,22129.971672770214
215,abuja,2012-12-01,2335.498259622371,11764.123599198325
216,abuja,2013-01-01,2766.053048785769,27218.84312489908
217,abuja,2013-02-01,3234.0623181980823,33734.02646516863
218,abuja,2013-03-01,3824.065042839663,42353.59373965917
219,abuja,2013-04-01,4049.7979685715686,45941.927748214104
220,abuja,2013-05-01,3930.2202119213525,44438.30790364837
221,abuja,2013-06-01,3432.9613624997046,37286.37012537614
222,abuja,2013-07-01,3139.642406588728,31841.77583902751
223,abuja,2013-08-01,3216.688972960124,33691.525535694396
224,abuja,2013-09-01,3159.80984089323,33441.522414512874
225,abuja,2013-10-01,2886.8044859985116,29438.407870460207
226,abuja,2013-11-01,2591.103392925482,24474.210675248625
227,abuja,2013-12-01,2473.3226195892403,13105.60065315505
228,abuja,2014-01-01,2945.480445856484,30045.815777631957
229,abuja,2014-02-01,3352.904508236732,36235.60995079427
230,abuja,2014-03-01,3844.131488003269,43589.944893122665
231,abuja,2014-04-01,4076.4610561611644,47458.87587641423
232,abuja,2014-05-01,3962.282065768245,46654.89678612947
233,abuja,2014-06-01,3572.6050983775776,39994.436184124505
234,abuja,2014-07-01,3370.3165291956516,36833.63429488364
235,abuja,2014-08-01,3327.103899474529,36708.13596427548
236,abuja,2014-09-01,3239.7345460095953,35427.14865674064
237,abuja,2014-10-01,3012.560035315551,31532.009468978587
238,abuja,2014-11-01,2749.378619608583,26935.898390924118
239,abuja,2014-12-01,2632.8861102556784,14921.478954920229
240,abuja,2015-01-01,3086.7906202099293,32806.796950454074
241,abuja,2015-02-01,3425.3797020698535,38013.29703464248
242,abuja,2015-03-01,3867.6022542867545,45384.7731769202
243,abuja,2015-04-01,4064.290809494541,47527.46050825966
244,abuja,2015-05-01,3921.625105548558,46535.39731754772
245,abuja,2015-06-01,3661.2853685949117,41733.26304869892
246,abuja,2015-07-01,3562.637899727198,40967.990241435786
247,abuja,2015-08-01,3403.9032874780405,38548.23003490588
248,abuja,2015-09-01,3308.6755014322425,36027.26457401957
249,abuja,2015-10-01,3113.281958042385,33508.71466389131
250,abuja,2015-11-01,2849.9832579258095,28942.757380157294
251,abuja,2015-12-01,2773.7050787659273,17396.374885068708
252,abuja,2016-01-01,3181.301264597788,35188.19891888158
253,abuja,2016-02-01,3443.8541213444673,39528.17174664279
254,abuja,2016-03-01,3815.528506325017,44809.1991824225
255,abuja,2016-04-01,3959.383529684024,47642.697775851775
256,abuja,2016-05-01,3774.7863743914727,44530.52345380659
257,abuja,2016-06-01,3718.167548250324,44460.121264159425
258,abuja,2016-07-01,3642.630477670135,43184.043327125335
259,abuja,2016-08-01,3411.836641505969,38572.2369316896
260,abuja,2016-09-01,3265.698922170795,36966.6340428653
261,abuja,2016-10-01,3070.17077117454,34172.8031731364
262,abuja,2016-11-01,2840.7826242245037,29919.95634672393
263,abuja,2016-12-01,2832.666746147301,20958.778011454593
264,abuja,2017-01-01,3117.214306303718,38156.036955194206
265,abuja,2017-02-01,3396.345485323559,44437.16877575393
266,abuja,2017-03-01,3650.396790885547,48093.97462886723
267,abuja,2017-04-01,3710.3557907211552,47024.441955939095
268,abuja,2017-05-01,3601.3378637201754,46664.2119999593
269,abuja,2017-06-01,3552.1075444395165,46040.76189104198
270,abuja,2017-07-01,3576.853975142812,46362.1543193892
271,abuja,2017-08-01,3334.7686874045235,42091.234003345104
272,abuja,2017-09-01,3109.7889780915334,39093.20682753311
273,abuja,2017-10-01,2925.759437395279,36637.18854428756
274,abuja,2017-11-01,2763.592528573566,32634.96674033161
275,abuja,2017-12-01,2774.3250540160648,24488.60303477813
276,abuja,2018-01-01,3058.7090210740694,46968.36815792143
277,abuja,2018-02-01,3361.223052665638,56259.71969544637
278,abuja,2018-03-01,3574.090755093136,59006.13482281976
279,abuja,2018-04-01,3554.369893631167,56485.08974741756
280,abuja,2018-05-01,3477.1793981654505,55346.568762080766
281,abuja,2018-06-01,3447.912486166135,56290.2800405735
282,abuja,2018-07-01,3514.6969939600003,57104.622095454695
283,abuja,2018-08-01,3268.9502931084853,51487.83276603301
284,abuja,2018-09-01,3030.2042920541694,47876.875137411436
